description,beschrijving,descripcion,id,likelyness,parent,sector,severity,type,workshop
It is getting warmer,Het wordt warmer,Ta bira mas cayente,1,0,,,0,Theme,0
Higher average temperatures,Hogere gemiddelde temperaturen,Temperatur promedio ta subiendo,2,0,1,,0,Hazard,0
Loss of intangible cultural heritage ,Verlies van immaterieel cultureel erfgoed,Perdida di patrimonio cultural no-material,3,0,2,socio,0,Impact,0
Increase in invasive species,Toename van invasieve soorten,Aumento di especie invasivo,4,0,2,environmental,0,Impact,0
"Threat to bird species, bird migration, and (gender of) turtles",Bedreiging van vijvers en vogelsoorten,"Amenasa pa para di suido, migracion di para i genero di tortuga",5,0,2,environmental,0,Impact,0
Reduced outdoor activities and (labor) productivity,Minder buitenactiviteiten en (arbeids) productiviteit,Menos actividadnan den aire liber i productividad (laboral),6,0,2,economic,0,Impact,0
Higher sea temperatures,Hogere zeetemperaturen,Temperatur di laman ta mas halto,8,0,2,environmental,0,Impact,1
"Infectious diseases (for example, mosquitos)",Besmettelijke ziekten (muggen),Enfermedad infeccioso (por ehempel sangura),9,0,2,socio,0,Impact,0
More extreme temperatures,Extremere temperaturen,Temperatur mas extremo,10,0,1,,0,Hazard,0
Outage of vital infrastructure services,Uitval van vitale infrastructuur,Interumpcion di servicionan vital di infrastructura,11,0,10,socio,0,Impact,1
"Increase in power outages, maintenance cost and cooling",Toename stroomuitval door oververhitting motor,"Aumento di apagonan, gastu di mantenemento i enfriamento",12,0,10,economic,0,Impact,0
"Increase in costs from energy, drinking water, and fuel","Hogere kosten voor energie, drinkwater en brandstof","Aumento di gastu pa energia, awa di bebe i combustible",13,0,10,economic,0,Impact,0
Loss of biodiversity,Verlies van biodiversiteit,Perdida di biodiversidad,14,0,10,environmental,0,Impact,1
"Heat-related stress, mental health + domestic violence","Stress, geestelijke gezondheid, huiselijk geweld","Stress relaciona cu calor, salu mental i violencia domestico",15,0,10,socio,0,Impact,0
"Loss of agriculture, shift to new forms","Verlies van landbouw, verschuiving naar nieuwe vormen","Perdida di agricultura, cambio pa otro forma di produccion",16,0,10,economic,0,Impact,1
"Health problems, CVA, Chronic diseases, vulnerable groups",Gezondheids- problemen,"Problemanan di salu, CVA, malesa croniko, grupo vulnerabel",17,0,10,socio,0,Impact,0
Negative impact on tourism and hospitality,Negatief effect op toerisme en horeca,Impacto negativo riba turismo i hospitalidad,18,0,10,economic,0,Impact,1
Discomfort pets and domestic animals,Ongemak voor huisdieren en vee,Incomodidad pa bestia domestico i mascota,19,0,10,environmental,0,Impact,1
Desertification of land,Verwoestijning van land,Desertificacion di tera,20,0,10,environmental,0,Impact,1
Pressure on the health care system,Druk op het zorgsysteem,Precion riba sistema di salu,21,0,10,socio,0,Impact,1
Increase in supply chain/costs because of shipping costs,Stijgende keten- en productiekosten door hogere transportkosten,Aumento di gastu i cadena di suministronan pa via di transporte,22,0,2,economic,0,Impact,1
"Sports practice, cultural activities, carnaval","Belemmering van sport, culturele activiteiten, carnaval","Dificil pa hasi deporte, actividadnan cultural i carnaval",23,0,10,socio,0,Impact,1
"Hindered learning, education (schools)","Moeilijker leren, onderwijs (scholen)",Obstaculo den enseñansa i scol,24,0,10,socio,0,Impact,1
Higher mortality,Hogere sterfte,Aumento di mortalidad,25,0,10,socio,0,Impact,0
Revision of construction design standards ,Herziening van bouw- en ontwerpstandaarden,Necesidad pa revicion di estandar di diseño y construccion,26,0,10,economic,0,Impact,0
