Kans,Return,Lower_zonder,Upper_zonder,Lower_met,Upper_met,Lower_2050,Upper_2050
10,10,31.9641,34.2643,37.1269,39.5521,38.67,40.4217
5,20,32.733,35.0955,37.8617,40.458,39.2343,41.3575
2,50,33.5847,36.1461,38.5851,41.5057,39.6398,42.6335
1,100,34.0189,36.9846,38.9964,42.36,39.853,43.6092
0.5,200,34.4163,37.7845,39.329,43.1191,40.021,44.4255
0.2,500.006,34.7687,38.8045,39.6424,44.2142,40.1668,45.5507
0.1,1000.01,34.9788,39.5784,39.8744,45.0144,40.2238,46.3668
0.05,1999.91,35.1463,40.4376,40.0491,45.7595,40.2506,47.0906
0.02,5000.66,35.3178,41.4106,40.1682,46.7337,40.2673,48.0085
0.01,9998.34,35.4371,42.2131,40.2413,47.4276,40.2743,48.654
